Number of parameters: 990
Epoch 25: Loss = 0.478162, accuracy = 82.0000 %
Epoch 26: Loss = 0.476763, accuracy = 81.9500 %
Epoch 27: Loss = 0.475124, accuracy = 81.6000 %
Epoch 28: Loss = 0.474556, accuracy = 82.5500 %
Epoch 29: Loss = 0.471029, accuracy = 82.3000 %
Epoch 30: Loss = 0.470948, accuracy = 82.5000 %
Epoch 31: Loss = 0.469027, accuracy = 82.5000 %
Epoch 32: Loss = 0.467639, accuracy = 82.7500 %
Epoch 33: Loss = 0.465775, accuracy = 82.7500 %
Epoch 34: Loss = 0.464970, accuracy = 82.6000 %
Epoch 35: Loss = 0.464584, accuracy = 82.6500 %
Epoch 36: Loss = 0.463560, accuracy = 82.9000 %
Epoch 37: Loss = 0.462984, accuracy = 82.8000 %
Epoch 38: Loss = 0.462116, accuracy = 83.2000 %
Epoch 39: Loss = 0.461079, accuracy = 83.0500 %


Number of parameters: 990
Epoch 0: Loss = 1.255665, accuracy = 54.7000 %
Epoch 1: Loss = 0.799467, accuracy = 69.6500 %
Epoch 2: Loss = 0.725744, accuracy = 72.8000 %
Epoch 3: Loss = 0.680917, accuracy = 73.4000 %
Epoch 4: Loss = 0.658489, accuracy = 74.3500 %
Epoch 5: Loss = 0.630173, accuracy = 76.8000 %
Epoch 6: Loss = 0.602380, accuracy = 77.1000 %
Epoch 7: Loss = 0.584483, accuracy = 79.1500 %
Epoch 8: Loss = 0.575186, accuracy = 78.6500 %
Epoch 9: Loss = 0.557980, accuracy = 79.6000 %
Epoch 10: Loss = 0.548498, accuracy = 79.5500 %
Epoch 11: Loss = 0.538122, accuracy = 79.7000 %
Epoch 12: Loss = 0.536898, accuracy = 79.7000 %
Epoch 13: Loss = 0.527069, accuracy = 80.1000 %
Epoch 14: Loss = 0.516460, accuracy = 81.6500 %
Epoch 15: Loss = 0.509450, accuracy = 80.9000 %
Epoch 16: Loss = 0.505608, accuracy = 81.3000 %
Epoch 17: Loss = 0.497346, accuracy = 81.6500 %
Epoch 18: Loss = 0.494139, accuracy = 81.6500 %
Epoch 19: Loss = 0.491042, accuracy = 81.4500 %
Epoch 20: Loss = 0.487748, accuracy = 82.0000 %
Epoch 21: Loss = 0.483644, accuracy = 81.5000 %
Epoch 22: Loss = 0.479700, accuracy = 81.9500 %
Epoch 23: Loss = 0.477610, accuracy = 82.1500 %
Epoch 24: Loss = 0.473822, accuracy = 82.0500 %
Epoch 25: Loss = 0.472845, accuracy = 82.2500 %
Epoch 26: Loss = 0.470038, accuracy = 82.1500 %
Epoch 27: Loss = 0.466274, accuracy = 82.7000 %
Epoch 28: Loss = 0.463142, accuracy = 82.7500 %
Epoch 29: Loss = 0.465462, accuracy = 82.9000 %
Epoch 30: Loss = 0.462372, accuracy = 82.7500 %
Epoch 31: Loss = 0.461054, accuracy = 83.1000 %
Epoch 32: Loss = 0.459592, accuracy = 83.1000 %
Epoch 33: Loss = 0.458359, accuracy = 83.0500 %
Epoch 34: Loss = 0.458037, accuracy = 83.0500 %
Epoch 35: Loss = 0.456750, accuracy = 83.2500 %
Epoch 36: Loss = 0.455718, accuracy = 83.2500 %
Epoch 37: Loss = 0.455001, accuracy = 83.1000 %
Epoch 38: Loss = 0.454030, accuracy = 83.0500 %
Epoch 39: Loss = 0.453319, accuracy = 83.2500 %


Number of parameters: 990
Epoch 0: Loss = 1.306847, accuracy = 52.6500 %
Epoch 1: Loss = 0.847891, accuracy = 68.1000 %
Epoch 2: Loss = 0.747824, accuracy = 71.8000 %
Epoch 3: Loss = 0.705880, accuracy = 73.3500 %
Epoch 4: Loss = 0.653457, accuracy = 75.3000 %
Epoch 5: Loss = 0.629749, accuracy = 76.6000 %
Epoch 6: Loss = 0.627194, accuracy = 77.2500 %
Epoch 7: Loss = 0.603557, accuracy = 77.4000 %
Epoch 8: Loss = 0.583860, accuracy = 79.0000 %
Epoch 9: Loss = 0.578308, accuracy = 78.5500 %
Epoch 10: Loss = 0.568461, accuracy = 79.2000 %
Epoch 11: Loss = 0.552020, accuracy = 80.2000 %
Epoch 12: Loss = 0.544167, accuracy = 80.6000 %
Epoch 13: Loss = 0.537190, accuracy = 80.2000 %
Epoch 14: Loss = 0.535931, accuracy = 80.4000 %
Epoch 15: Loss = 0.529504, accuracy = 80.3000 %
Epoch 16: Loss = 0.522749, accuracy = 80.8500 %
Epoch 17: Loss = 0.518905, accuracy = 81.1000 %
Epoch 18: Loss = 0.514556, accuracy = 80.9500 %
Epoch 19: Loss = 0.507116, accuracy = 80.5500 %
Epoch 20: Loss = 0.503901, accuracy = 81.8500 %
Epoch 21: Loss = 0.505058, accuracy = 81.1000 %
Epoch 22: Loss = 0.497698, accuracy = 81.7000 %
Epoch 23: Loss = 0.495548, accuracy = 81.6500 %
Epoch 24: Loss = 0.495620, accuracy = 81.9500 %
Epoch 25: Loss = 0.492544, accuracy = 81.5500 %
Epoch 26: Loss = 0.491659, accuracy = 82.1500 %
Epoch 27: Loss = 0.488059, accuracy = 81.7000 %
